view,object,corner_id,x,y,visible
view1,mat,1,16,216,1
view1,mat,2,231,112,1
view1,mat,3,,,0
view1,mat,4,,,0
view1,rug,1,3,136,1
view1,rug,2,132,87,1
view1,rug,3,190,114,1
view1,rug,4,39,180,1
view2,mat,1,320,262,1
view2,mat,2,110,135,1
view2,mat,3,215,96,1
view2,mat,4,,,0
view2,rug,1,,,0
view2,rug,2,3,203,1
view2,rug,3,105,157,1
view2,rug,4,255,257,1
view3,mat,1,303,148,1
view3,mat,2,64,256,1
view3,mat,3,,,0
view3,mat,4,191,112,1
view3,rug,1,,,0
view3,rug,2,,,0
view3,rug,3,154,247,1
view3,rug,4,316,163,1
