view_a,track_id_a,view_b,track_id_b,cosine_similarity,time_gap
view1,1,view2,1,0.9991,0.0
view1,1,view2,2,0.9992,0.0
view1,1,view2,4,0.9974,0.0
view1,1,view2,5,0.997,0.0
view1,1,view2,7,0.9865,0.0
view1,1,view2,8,0.9978,0.0
view1,1,view2,10,0.9994,0.0
view1,1,view2,13,0.987,0.0
view1,1,view2,14,0.9995,0.0
view1,1,view2,15,0.9978,0.0
view1,1,view2,16,0.9972,0.0
view1,1,view2,17,0.9984,0.0
view1,1,view2,18,0.9986,0.0
view1,1,view2,19,0.9988,0.0
view1,1,view2,20,0.9986,0.0
view1,1,view2,21,0.999,0.0
view1,1,view2,23,0.9993,0.0
view1,1,view2,24,0.9959,0.0
view1,1,view2,25,0.9989,0.0
view1,1,view2,26,0.9982,0.0
view1,1,view2,28,0.9974,0.0
view1,1,view2,29,0.9985,0.0
view1,1,view2,30,0.9973,0.0
view1,1,view2,31,0.9985,0.0
view1,1,view2,32,0.9973,0.0
view1,1,view2,33,0.9993,0.0
view1,1,view2,34,0.9985,0.0
view1,1,view2,35,0.999,0.0
view1,1,view2,36,0.9953,0.0
view1,1,view2,37,0.9952,0.0
view1,1,view2,38,0.9986,0.0
view1,1,view2,39,0.9933,0.0
view1,1,view2,42,0.9965,0.0
view1,1,view2,43,0.9974,0.0
view1,1,view2,44,0.9948,0.0
view1,1,view2,45,0.9993,0.0
view1,1,view2,46,0.9991,0.0
view1,1,view2,47,0.9993,0.0
view1,1,view2,49,0.9993,0.0
view1,1,view2,50,0.998,0.0
view1,1,view2,51,0.9983,0.0
view1,1,view2,52,0.9972,0.0
view1,1,view2,53,0.9989,0.0
view1,1,view2,54,0.9952,0.0
view1,1,view2,55,0.998,0.0
view1,1,view2,56,0.9994,0.0
view1,1,view2,57,0.9983,0.0
view1,1,view2,58,0.9986,0.0
view1,1,view2,59,0.9975,0.0
view1,1,view2,60,0.9982,0.0
view1,1,view2,61,0.9974,0.0
view1,1,view2,62,0.9944,0.0
view1,1,view2,63,0.9995,0.0
view1,1,view2,65,0.9993,0.0
view1,1,view2,66,0.9985,0.0
view1,1,view2,67,0.9934,0.0
view1,1,view2,68,0.9924,0.0
view1,1,view2,69,0.9905,0.0
view1,1,view2,70,0.9979,0.0
view1,1,view2,71,0.9956,0.0
view1,1,view2,72,0.9981,0.0
view1,1,view2,73,0.9959,0.0
view1,1,view2,74,0.9995,0.0
view1,1,view2,75,0.9985,0.0
view1,1,view2,76,0.9983,0.0
view1,1,view2,77,0.9938,0.0
view1,1,view2,78,0.9969,0.0
view1,1,view2,79,0.9995,0.0
view1,1,view2,80,0.9994,0.0
view1,1,view2,82,0.9991,0.0
view1,1,view2,83,0.9996,0.0
view1,1,view2,84,0.9997,0.0
view1,1,view2,85,0.9958,0.0
view1,1,view2,86,0.9963,0.0
view1,1,view2,87,0.999,0.0
view1,1,view2,88,0.998,0.0
view1,1,view2,89,0.9969,0.0
view1,1,view2,91,0.998,0.0
view1,1,view2,92,0.9963,0.0
view1,1,view2,93,0.9992,0.0
view1,1,view2,94,0.9979,0.0
view1,1,view2,95,0.9987,0.0
view1,1,view2,96,0.9953,0.0
view1,1,view2,97,0.9984,0.04
view1,1,view3,1,0.9983,0.0
view1,1,view3,2,0.9976,0.0
view1,1,view3,3,0.9994,0.0
view1,1,view3,4,0.9993,0.0
view1,1,view3,6,0.9987,0.0
view1,1,view3,7,0.9986,0.0
view1,1,view3,8,0.9993,0.0
view1,1,view3,9,0.9989,0.0
view1,1,view3,11,0.9989,0.0
view1,1,view3,12,0.9987,0.0
view1,1,view3,13,0.9971,0.0
view1,1,view3,14,0.9992,0.0
view1,1,view3,15,0.999,0.0
view1,1,view3,16,0.9983,0.0
view1,1,view3,17,0.9996,0.0
view1,1,view3,18,0.9985,0.0
view1,1,view3,19,0.9977,0.0
view1,1,view3,20,0.9985,0.0
view1,1,view3,21,0.9991,0.0
view1,1,view3,22,0.998,0.0
view1,1,view3,23,0.9979,0.0
view1,1,view3,24,0.9985,0.0
view1,1,view3,25,0.9983,0.0
view1,1,view3,27,0.9996,0.0
view1,1,view3,28,0.998,0.0
view1,1,view3,29,0.9993,0.0
view1,1,view3,30,0.9989,0.0
view1,1,view3,31,0.9991,0.0
view1,1,view3,32,0.9993,0.0
view1,1,view3,33,0.994,0.0
view1,1,view3,34,0.999,0.0
view1,1,view3,36,0.9985,0.0
view1,1,view3,37,0.998,0.0
view1,1,view3,38,0.9994,0.0
view1,1,view3,39,0.9996,0.0
view1,1,view3,40,0.9983,0.0
view1,1,view3,42,0.9975,0.0
view1,1,view3,43,0.9995,0.0
view1,1,view3,45,0.9993,0.0
view1,1,view3,46,0.9982,0.0
view1,1,view3,47,0.9984,0.0
