sequence_order,view,window_start_frame,window_end_frame,cluster_id,vq_score,cluster_size
1,view1,0,149,0,0.0,1
2,view2,0,149,7,0.2656,1
3,view3,0,149,12,0.0,1
4,view1,150,299,1,0.2982,1
5,view2,150,299,8,0.7998,1
6,view3,150,299,13,0.7626,1
7,view1,300,449,3,0.8409,1
8,view2,300,449,9,0.7583,1
9,view3,300,449,14,0.8268,1
10,view1,450,599,4,0.8484,1
11,view2,450,599,10,0.8068,1
12,view3,450,599,15,0.6365,1
13,view1,600,749,5,0.7918,1
14,view3,600,749,16,0.6926,1
15,view1,750,899,6,0.7778,1
16,view2,750,899,11,0.761,1
17,view3,750,899,17,0.7178,1
18,view3,2550,2699,2,0.8743,64
