view,track_id,global_id
view1,1,1
view2,30,1
view3,6,1
view1,16,2
view2,33,2
view3,5,2
view1,84,3
view2,18,3
view3,39,3
view1,2,4
view2,31,4
view3,16,4
view1,13,5
view2,36,5
view3,15,5
view1,32,6
view2,63,6
view3,34,6
view1,40,7
view2,76,7
view3,33,7
view1,39,8
view2,87,8
view3,37,8
view1,109,9
view2,73,9
view3,99,9
view1,45,10
view2,102,10
view3,70,10
view1,59,11
view2,92,11
view3,44,11
view1,51,12
view2,91,12
view3,53,12
view1,61,13
view2,90,13
view3,79,13
view1,72,14
view2,117,14
view3,66,14
view1,75,15
view2,116,15
view3,73,15
view1,78,16
view2,153,16
view3,94,16
view1,104,17
view2,185,17
view3,119,17
view1,133,18
view2,219,18
view3,113,18
view1,126,19
view2,204,19
view3,144,19
view1,151,20
view2,238,20
view3,129,20
view1,130,21
view2,200,21
view3,131,21
view1,170,22
view2,324,22
view3,230,22
view1,185,23
view2,262,23
view3,205,23
view1,211,24
view2,311,24
view3,227,24
view1,240,25
view2,357,25
view3,236,25
view1,285,26
view2,389,26
view3,244,26
view1,276,27
view2,376,27
view3,256,27
view1,258,28
view2,365,28
view3,260,28
view1,267,29
view2,391,29
view3,280,29
view1,294,30
view2,395,30
view3,269,30
view1,286,31
view2,401,31
view3,272,31
view1,284,32
view2,397,32
view3,282,32
view2,2,33
view3,2,33
view2,49,34
view3,24,34
view2,70,35
view3,28,35
view2,62,36
view3,29,36
view2,71,37
view3,49,37
view1,54,38
view3,62,38
view2,150,39
view3,71,39
view1,77,40
view3,77,40
view1,89,41
view3,81,41
view2,151,42
view3,82,42
view2,128,43
view3,88,43
view2,143,44
view3,217,44
view2,145,45
view3,90,45
view2,154,46
view3,96,46
view2,155,47
view3,106,47
view1,100,48
view3,108,48
view1,101,49
view3,100,49
view2,161,50
view3,124,50
view2,170,51
view3,109,51
view2,176,52
view3,121,52
view1,116,53
view3,163,53
view2,187,54
view3,128,54
view2,199,55
view3,136,55
view2,202,56
view3,186,56
view1,139,57
view3,169,57
view2,247,58
view3,150,58
view2,223,59
view3,165,59
view2,230,60
view3,157,60
view2,253,61
view3,153,61
view1,161,62
view3,188,62
view2,275,63
view3,154,63
view1,163,64
view3,202,64
view2,257,65
view3,181,65
view1,177,66
view3,206,66
view2,281,67
view3,195,67
view2,316,68
view3,203,68
view2,286,69
view3,212,69
view2,288,70
view3,225,70
view2,375,71
view3,209,71
view1,209,72
view3,223,72
view2,296,73
view3,214,73
view2,299,74
view3,216,74
view2,327,75
view3,231,75
view2,347,76
view3,233,76
view2,355,77
view3,240,77
view2,340,78
view3,243,78
view2,354,79
view3,252,79
view2,379,80
view3,266,80
view2,390,81
view3,267,81
view2,21,82
view2,26,83
view2,27,84
view2,39,85
view2,41,86
view2,51,87
view2,75,88
view2,194,89
view3,215,90
view2,349,91
view2,361,92
view2,400,93
view1,43,94
view1,74,95
view1,88,96
view1,122,97
view1,159,98
view1,180,99
view1,189,100
view1,200,101
view1,202,102
view1,217,103
view1,248,104
view1,250,105
view1,273,106
view1,283,107
view1,291,108
view2,17,109
view2,19,110
view2,124,111
view2,133,112
view2,136,113
view2,137,114
view2,189,115
view2,248,116
view2,293,117
view2,306,118
view2,314,119
view2,346,120
view2,380,121
view2,381,122
view3,10,123
view3,25,124
view3,27,125
view3,30,126
view3,36,127
view3,38,128
view3,48,129
view3,60,130
view3,61,131
view3,116,132
view3,175,133
view3,185,134
view3,196,135
view3,204,136
view3,234,137
view3,242,138
view3,247,139
view3,255,140
view3,278,141
view3,281,142
