view,track_id,global_id
view1,2,1
view2,2,1
view3,2,1
view1,5,2
view2,7,2
view3,1,2
view1,1,3
view2,84,3
view3,54,3
view1,13,4
view2,14,4
view3,3,4
view1,8,5
view2,10,5
view3,4,5
view1,4,6
view2,13,6
view3,6,6
view1,21,7
view2,8,7
view3,12,7
view1,14,8
view2,17,8
view3,9,8
view1,12,9
view2,21,9
view3,16,9
view1,19,10
view2,20,10
view3,14,10
view1,22,11
view2,23,11
view3,24,11
view1,23,12
view2,35,12
view3,19,12
view1,29,13
view2,26,13
view3,20,13
view1,31,14
view2,30,14
view3,17,14
view1,37,15
view2,29,15
view3,28,15
view1,33,16
view2,34,16
view3,21,16
view1,36,17
view2,37,17
view3,22,17
view1,44,18
view2,42,18
view3,23,18
view1,42,19
view2,38,19
view3,25,19
view1,39,20
view2,47,20
view3,27,20
view1,40,21
view2,53,21
view3,33,21
view1,47,22
view2,45,22
view3,30,22
view1,45,23
view2,50,23
view3,29,23
view1,58,24
view2,49,24
view3,38,24
view1,56,25
view2,58,25
view3,34,25
view1,51,26
view2,63,26
view3,39,26
view1,54,27
view2,60,27
view3,36,27
view1,59,28
view2,65,28
view3,40,28
view1,62,29
view2,67,29
view3,46,29
view1,68,30
view2,74,30
view3,43,30
view1,71,31
view2,66,31
view3,52,31
view1,64,32
view2,75,32
view3,58,32
view1,77,33
view2,83,33
view3,50,33
view1,84,34
view2,78,34
view3,68,34
view1,76,35
view2,86,35
view3,56,35
view1,74,36
view2,91,36
view3,61,36
view1,83,37
view2,96,37
view3,59,37
view1,75,38
view2,89,38
view3,62,38
view1,78,39
view2,87,39
view3,65,39
view1,85,40
view2,93,40
view3,67,40
view1,82,41
view2,94,41
view3,64,41
view1,46,42
view2,1,42
view1,3,43
view2,5,43
view2,15,44
view3,7,44
view1,10,45
view3,8,45
view1,11,46
view2,16,46
view2,25,47
view3,11,47
view1,16,48
view3,15,48
view1,30,49
view2,18,49
view1,20,50
view2,19,50
view1,26,51
view2,24,51
view1,27,52
view3,18,52
view1,28,53
view2,31,53
view1,32,54
view2,32,54
view1,35,55
view2,33,55
view1,34,56
view2,36,56
view2,46,57
view3,32,57
view1,61,58
view3,31,58
view1,48,59
view2,51,59
view1,49,60
view2,54,60
view1,52,61
view2,56,61
view1,53,62
view2,55,62
view1,55,63
view2,61,63
view2,59,64
view3,37,64
view1,63,65
view3,42,65
view1,60,66
view2,68,66
view1,69,67
view3,45,67
view2,70,68
view3,47,68
view2,80,69
view3,48,69
view2,72,70
view3,49,70
view1,66,71
view2,73,71
view1,67,72
view3,57,72
view1,70,73
view2,82,73
view2,76,74
view3,51,74
view2,85,75
view3,55,75
view1,79,76
view2,88,76
view1,80,77
view2,92,77
view1,81,78
view2,95,78
view2,97,79
view3,66,79
view2,4,80
view3,13,81
view1,24,82
view2,28,83
view2,39,84
view2,43,85
view2,44,86
view2,52,87
view2,57,88
view2,62,89
view2,69,90
view2,71,91
view2,77,92
view2,79,93
view1,6,94
view1,7,95
view1,9,96
view1,15,97
view1,17,98
view1,18,99
view1,25,100
view1,38,101
view1,41,102
view1,43,103
view1,50,104
view1,57,105
view1,65,106
view1,72,107
view1,73,108
view2,3,109
view2,6,110
view2,9,111
view2,11,112
view2,12,113
view2,22,114
view2,27,115
view2,40,116
view2,41,117
view2,48,118
view2,64,119
view2,81,120
view2,90,121
view3,5,122
view3,10,123
view3,26,124
view3,35,125
view3,41,126
view3,44,127
view3,53,128
view3,60,129
view3,63,130
