view,track_id,start_frame,end_frame,start_time,end_time,num_detections
view1,-1,164,3875,6.56,155.00,22
view1,1,165,293,6.60,11.72,95
view1,12,311,817,12.44,32.68,385
view1,15,385,386,15.40,15.44,2
view1,17,388,405,15.52,16.20,18
view1,34,413,640,16.52,25.60,150
view1,48,486,499,19.44,19.96,3
view1,80,621,637,24.84,25.48,2
view1,93,634,634,25.36,25.36,1
view1,100,661,840,26.44,33.60,142
view1,105,684,684,27.36,27.36,1
view1,117,724,828,28.96,33.12,94
view1,125,743,764,29.72,30.56,14
view1,135,772,772,30.88,30.88,1
view1,142,780,808,31.20,32.32,2
view1,165,829,829,33.16,33.16,1
view1,168,836,1018,33.44,40.72,128
view1,174,842,895,33.68,35.80,32
view1,187,884,888,35.36,35.52,4
view1,188,883,1302,35.32,52.08,300
view1,196,898,1114,35.92,44.56,112
view1,213,921,922,36.84,36.88,2
view1,214,925,935,37.00,37.40,3
view1,238,1004,1004,40.16,40.16,1
view1,242,1018,1021,40.72,40.84,4
view1,244,1020,1116,40.80,44.64,59
view1,246,1021,1022,40.84,40.88,2
view1,248,1045,1049,41.80,41.96,2
view1,252,1025,1033,41.00,41.32,5
view1,270,1071,1071,42.84,42.84,1
view1,279,1101,1101,44.04,44.04,1
view1,290,1145,1342,45.80,53.68,184
view1,306,1189,1194,47.56,47.76,5
view1,311,1196,1224,47.84,48.96,3
view1,320,1201,1202,48.04,48.08,2
view1,323,1203,1255,48.12,50.20,30
view1,327,1206,1302,48.24,52.08,40
view1,340,1216,1249,48.64,49.96,8
view1,362,1254,1670,50.16,66.80,364
view1,376,1277,1323,51.08,52.92,5
view1,378,1280,1280,51.20,51.20,1
view1,387,1305,1311,52.20,52.44,5
view1,393,1310,1317,52.40,52.68,4
view1,398,1315,1447,52.60,57.88,94
view1,405,1321,1363,52.84,54.52,43
view1,417,1334,1334,53.36,53.36,1
view1,428,1362,1362,54.48,54.48,1
view1,434,1365,1392,54.60,55.68,6
view1,437,1366,1385,54.64,55.40,19
view1,453,1385,1385,55.40,55.40,1
view1,464,1398,1401,55.92,56.04,2
view1,471,1406,1827,56.24,73.08,282
view1,474,1406,1412,56.24,56.48,7
view1,491,1434,1435,57.36,57.40,2
view1,494,1436,1437,57.44,57.48,2
view1,497,1437,1597,57.48,63.88,146
view1,505,1446,1446,57.84,57.84,1
view1,508,1450,1503,58.00,60.12,26
view1,517,1461,1498,58.44,59.92,21
view1,532,1513,1514,60.52,60.56,2
view1,544,1529,1579,61.16,63.16,29
view1,548,1551,1551,62.04,62.04,1
view1,557,1559,1620,62.36,64.80,13
view1,578,1592,1592,63.68,63.68,1
view1,582,1595,1595,63.80,63.80,1
view1,596,1610,1612,64.40,64.48,3
view1,599,1612,1615,64.48,64.60,4
view1,607,1616,1617,64.64,64.68,2
view1,608,1618,1625,64.72,65.00,8
view1,616,1623,1626,64.92,65.04,3
view1,620,1627,1627,65.08,65.08,1
view1,622,1630,1825,65.20,73.00,78
view1,626,1632,1664,65.28,66.56,26
view1,629,1634,1636,65.36,65.44,2
view1,635,1647,1648,65.88,65.92,2
view1,636,1648,1649,65.92,65.96,2
view1,646,1668,1671,66.72,66.84,3
view1,650,1676,1778,67.04,71.12,77
view1,662,1708,1957,68.32,78.28,147
view1,685,1765,1775,70.60,71.00,6
view1,716,1797,1800,71.88,72.00,4
view1,726,1809,1814,72.36,72.56,5
view1,729,1817,1868,72.68,74.72,30
view1,739,1830,1831,73.20,73.24,2
view1,744,1838,1864,73.52,74.56,4
view1,754,1844,1851,73.76,74.04,5
view1,756,1845,2090,73.80,83.60,104
view1,768,1856,1958,74.24,78.32,27
view1,776,1859,1861,74.36,74.44,2
view1,797,1876,1876,75.04,75.04,1
view1,805,1891,1902,75.64,76.08,8
view1,820,1906,1997,76.24,79.88,46
view1,828,1920,1990,76.80,79.60,38
view1,831,1923,1923,76.92,76.92,1
view1,846,1943,1947,77.72,77.88,5
view1,849,1945,1945,77.80,77.80,1
view1,857,1961,1962,78.44,78.48,2
view1,860,1962,2027,78.48,81.08,51
view1,870,1978,1978,79.12,79.12,1
view1,873,1980,1981,79.20,79.24,2
view1,879,1986,1986,79.44,79.44,1
view1,885,1991,2254,79.64,90.16,213
view1,894,1997,2031,79.88,81.24,27
view1,907,2049,2055,81.96,82.20,2
view1,910,2061,2078,82.44,83.12,10
