view,stitched_track_id,original_track_ids,start_frame,end_frame,start_time,end_time,num_detections
view1,1,[-1],164,3875,6.56,155.00,22
view1,2,[1],165,293,6.60,11.72,95
view1,3,"[12, 165, 168, 242, 246, 252, 248]",311,1049,12.44,41.96,527
view1,4,"[15, 17, 34]",385,640,15.40,25.60,170
view1,5,[48],486,499,19.44,19.96,3
view1,6,[80],621,637,24.84,25.48,2
view1,7,[93],634,634,25.36,25.36,1
view1,8,"[100, 174, 196]",661,1114,26.44,44.56,286
view1,9,[105],684,684,27.36,27.36,1
view1,10,[117],724,828,28.96,33.12,94
view1,11,"[125, 135, 142]",743,808,29.72,32.32,17
view1,12,"[188, 387, 398, 508, 532, 544, 578, 582, 596, 599, 607, 608, 620]",883,1627,35.32,65.08,476
view1,13,[187],884,888,35.36,35.52,4
view1,14,"[213, 214]",921,935,36.84,37.40,5
view1,15,[238],1004,1004,40.16,40.16,1
view1,16,[244],1020,1116,40.80,44.64,59
view1,17,[270],1071,1071,42.84,42.84,1
view1,18,[279],1101,1101,44.04,44.04,1
view1,19,[290],1145,1342,45.80,53.68,184
view1,20,"[306, 311]",1189,1224,47.56,48.96,8
view1,21,"[320, 323]",1201,1255,48.04,50.20,32
view1,22,"[327, 393, 405, 434, 464, 471, 739, 744, 797, 805]",1206,1902,48.24,76.08,392
view1,23,"[340, 362, 650]",1216,1778,48.64,71.12,449
view1,24,"[376, 417]",1277,1334,51.08,53.36,6
view1,25,[378],1280,1280,51.20,51.20,1
view1,26,"[428, 437, 453]",1362,1385,54.48,55.40,21
view1,27,[474],1406,1412,56.24,56.48,7
view1,28,"[491, 494, 497]",1434,1597,57.36,63.88,150
view1,29,"[505, 517]",1446,1498,57.84,59.92,22
view1,30,"[548, 557, 616, 622]",1551,1825,62.04,73.00,95
view1,31,"[626, 646]",1632,1671,65.28,66.84,29
view1,32,"[629, 635, 636]",1634,1649,65.36,65.96,6
view1,33,"[662, 857, 860]",1708,2027,68.32,81.08,200
view1,34,[685],1765,1775,70.60,71.00,6
view1,35,"[716, 726, 729]",1797,1868,71.88,74.72,39
view1,36,"[754, 768]",1844,1958,73.76,78.32,32
view1,37,"[756, 929, 958, 1002, 1010, 1014]",1845,2371,73.80,94.84,285
view1,38,[776],1859,1861,74.36,74.44,2
view1,39,"[820, 894]",1906,2031,76.24,81.24,73
view1,40,"[828, 885, 1020, 1093]",1920,2369,76.80,94.76,329
view1,41,[831],1923,1923,76.92,76.92,1
view1,42,[846],1943,1947,77.72,77.88,5
view1,43,[849],1945,1945,77.80,77.80,1
view1,44,"[870, 873, 879]",1978,1986,79.12,79.44,4
view1,45,"[907, 910, 925, 966, 1039]",2049,2294,81.96,91.76,178
view1,46,"[913, 914]",2064,2234,82.56,89.36,47
view1,47,"[935, 942]",2095,2106,83.80,84.24,4
view1,48,"[993, 1026, 1098, 1120, 1167, 1174, 1223, 1229]",2200,2782,88.00,111.28,290
view1,49,"[1025, 1061, 1070, 1073]",2290,2339,91.60,93.56,41
view1,50,[1075],2336,2337,93.44,93.48,2
view1,51,"[1102, 1434, 1439]",2375,2901,95.00,116.04,360
view1,52,"[1124, 1126]",2396,2401,95.84,96.04,5
view1,53,"[1153, 1237, 1228, 1248]",2421,2559,96.84,102.36,71
view1,54,"[1160, 1481, 1511]",2432,2980,97.28,119.20,320
view1,55,"[1173, 1179, 1196]",2446,2508,97.84,100.32,22
view1,56,"[1199, 1213]",2472,2501,98.88,100.04,16
view1,57,[1270],2590,2590,103.60,103.60,1
view1,58,"[1290, 1303, 1314]",2615,2665,104.60,106.60,15
view1,59,[1293],2617,2716,104.68,108.64,25
view1,60,[1328],2713,2838,108.52,113.52,13
view1,61,"[1342, 1354, 1361]",2751,2776,110.04,111.04,6
view1,62,"[1366, 1379, 1385]",2775,2927,111.00,117.08,76
view1,63,"[1387, 1395]",2809,2825,112.36,113.00,4
view1,64,"[1414, 1443, 1450]",2854,3536,114.16,141.44,540
view1,65,[1455],2904,2934,116.16,117.36,2
view1,66,"[1489, 1493, 1499]",2953,3049,118.12,121.96,63
view1,67,[1507],2986,3375,119.44,135.00,354
view1,68,[1517],2988,2995,119.52,119.80,6
view1,69,"[1527, 1530, 1680]",3016,3352,120.64,134.08,165
view1,70,"[1531, 1579, 1642]",3026,3442,121.04,137.68,218
view1,71,"[1560, 1587]",3108,3229,124.32,129.16,60
view1,72,[1593],3139,3139,125.56,125.56,1
view1,73,[1688],3369,3369,134.76,134.76,1
view1,74,"[1718, 1753, 1796, 1862, 1874]",3414,3717,136.56,148.68,162
view1,75,"[1723, 1732]",3420,3547,136.80,141.88,117
view1,76,[1760],3486,3592,139.44,143.68,80
view1,77,"[1766, 1853, 1952, 1961]",3498,3809,139.92,152.36,193
view1,78,"[1814, 1816, 1892, 1893, 1895, 1996, 1999]",3570,3882,142.80,155.28,194
view1,79,[1826],3581,3741,143.24,149.64,85
view1,80,[1878],3656,3659,146.24,146.36,4
view1,81,[1902],3703,3719,148.12,148.76,4
view1,82,"[1928, 1939]",3763,3853,150.52,154.12,41
view1,83,"[1931, 1942, 1966]",3768,3910,150.72,156.40,53
view1,84,"[1969, 1995]",3801,3909,152.04,156.36,27
view1,85,[2011],3907,3910,156.28,156.40,4
view2,1,[-1],113,3468,4.52,138.72,13
view2,2,"[2016, 2055]",114,511,4.56,20.44,331
view2,3,[2018],235,235,9.40,9.40,1
view2,4,[2029],295,298,11.80,11.92,3
view2,5,"[2039, 2040]",339,517,13.56,20.68,167
view2,6,[2042],346,346,13.84,13.84,1
view2,7,[2048],414,444,16.56,17.76,6
view2,8,[2059],517,1404,20.68,56.16,747
view2,9,"[2061, 2062]",524,526,20.96,21.04,2
view2,10,"[2068, 2223]",559,1095,22.36,43.80,396
view2,11,[2080],584,585,23.36,23.40,2
view2,12,[2081],616,616,24.64,24.64,1
view2,13,[2085],635,682,25.40,27.28,5
view2,14,"[2098, 2133, 2158]",700,1109,28.00,44.36,254
view2,15,[2135],798,801,31.92,32.04,3
