pair_id,shot_A_id,shot_A_view,shot_B_id,shot_B_view,label,pair_type,shot_A_vq,shot_B_vq,shot_A_start,shot_A_end,shot_B_start,shot_B_end,shared_ids
0,0,view1,0,view2,1,positive_cross_view,0.2982,0.5792,0,249,0,249,1
1,0,view1,0,view3,1,positive_cross_view,0.2982,0.4615,0,249,0,249,1
2,0,view1,1,view2,1,positive_cross_view,0.2982,0.8068,0,249,250,499,1
3,0,view2,0,view3,1,positive_cross_view,0.5792,0.4615,0,249,0,249,1
4,0,view2,1,view2,1,positive_intra_view,0.5792,0.8068,0,249,250,499,1
5,0,view3,1,view2,1,positive_cross_view,0.4615,0.8068,0,249,250,499,1
6,0,view3,1,view3,1,positive_intra_view,0.4615,0.8268,0,249,250,499,2
7,0,view3,2,view3,1,positive_intra_view,0.4615,0.6926,0,249,500,749,2
8,0,view3,3,view3,1,positive_intra_view,0.4615,0.8006,0,249,750,999,2
9,1,view1,1,view2,1,positive_cross_view,0.8409,0.8068,250,499,250,499,43
10,1,view1,2,view1,1,positive_intra_view,0.8409,0.8484,250,499,500,749,6;43
11,1,view1,2,view3,1,positive_cross_view,0.8409,0.6926,250,499,500,749,6
12,1,view1,3,view1,1,positive_intra_view,0.8409,0.7778,250,499,750,999,43
13,1,view2,2,view1,1,positive_cross_view,0.8068,0.8484,250,499,500,749,43
14,1,view3,2,view3,1,positive_intra_view,0.8268,0.6926,250,499,500,749,2;4
15,1,view3,3,view3,1,positive_intra_view,0.8268,0.8006,250,499,750,999,2;4
16,2,view1,2,view3,1,positive_cross_view,0.8484,0.6926,500,749,500,749,6
17,2,view1,3,view1,1,positive_intra_view,0.8484,0.7778,500,749,750,999,43
18,2,view2,3,view2,1,positive_intra_view,0.794,0.7621,500,749,750,999,7
19,2,view2,4,view2,1,positive_intra_view,0.794,0.751,500,749,1000,1249,7
20,2,view2,5,view2,1,positive_intra_view,0.794,0.7153,500,749,1250,1499,7
21,2,view3,3,view2,1,positive_cross_view,0.6926,0.7621,500,749,750,999,4
22,2,view3,3,view3,1,positive_intra_view,0.6926,0.8006,500,749,750,999,2;4
23,3,view1,3,view3,1,positive_cross_view,0.7778,0.8006,750,999,750,999,45
24,3,view1,4,view1,1,positive_intra_view,0.7778,0.7881,750,999,1000,1249,9
25,3,view1,5,view1,1,positive_intra_view,0.7778,0.8191,750,999,1250,1499,9
26,3,view1,6,view1,1,positive_intra_view,0.7778,0.8244,750,999,1500,1749,9
27,3,view2,3,view3,1,positive_cross_view,0.7621,0.8006,750,999,750,999,4
28,3,view2,4,view2,1,positive_intra_view,0.7621,0.751,750,999,1000,1249,4;7
29,3,view2,4,view3,1,positive_cross_view,0.7621,0.7395,750,999,1000,1249,7
30,3,view2,5,view2,1,positive_intra_view,0.7621,0.7153,750,999,1250,1499,7
31,3,view3,4,view2,1,positive_cross_view,0.8006,0.751,750,999,1000,1249,4
32,3,view3,4,view3,1,positive_intra_view,0.8006,0.7395,750,999,1000,1249,47
33,3,view3,5,view3,1,positive_intra_view,0.8006,0.7976,750,999,1250,1499,47
