pair_id,shot_A_id,shot_A_view,shot_B_id,shot_B_view,label,pair_type,shot_A_vq,shot_B_vq,shot_A_start,shot_A_end,shot_B_start,shot_B_end,shared_ids
0,1,view1,1,view2,1,positive_cross_view,0.2982,0.7998,150,299,150,299,1
1,1,view1,1,view3,1,positive_cross_view,0.2982,0.7626,150,299,150,299,1
2,1,view1,2,view2,1,positive_cross_view,0.2982,0.7583,150,299,300,449,1
3,1,view2,1,view3,1,positive_cross_view,0.7998,0.7626,150,299,150,299,1
4,1,view2,2,view2,1,positive_intra_view,0.7998,0.7583,150,299,300,449,1
5,1,view2,3,view2,1,positive_intra_view,0.7998,0.8068,150,299,450,599,1
6,1,view3,2,view2,1,positive_cross_view,0.7626,0.7583,150,299,300,449,1
7,1,view3,2,view3,1,positive_intra_view,0.7626,0.8268,150,299,300,449,2
8,1,view3,3,view3,1,positive_intra_view,0.7626,0.6365,150,299,450,599,2
9,2,view1,2,view2,1,positive_cross_view,0.8409,0.7583,300,449,300,449,43
10,2,view1,3,view1,1,positive_intra_view,0.8409,0.8484,300,449,450,599,6;43
11,2,view1,3,view2,1,positive_cross_view,0.8409,0.8068,300,449,450,599,43
12,2,view1,4,view1,1,positive_intra_view,0.8409,0.7918,300,449,600,749,6;43
13,2,view2,3,view1,1,positive_cross_view,0.7583,0.8484,300,449,450,599,43
14,2,view2,3,view2,1,positive_intra_view,0.7583,0.8068,300,449,450,599,1;43
15,2,view3,3,view2,1,positive_cross_view,0.8268,0.8068,300,449,450,599,5
16,2,view3,3,view3,1,positive_intra_view,0.8268,0.6365,300,449,450,599,2;4;5
17,2,view3,4,view3,1,positive_intra_view,0.8268,0.6926,300,449,600,749,2;4
18,3,view1,3,view2,1,positive_cross_view,0.8484,0.8068,450,599,450,599,43
19,3,view1,4,view1,1,positive_intra_view,0.8484,0.7918,450,599,600,749,6;43
20,3,view1,4,view2,1,positive_cross_view,0.8484,0.6696,450,599,600,749,6
21,3,view1,4,view3,1,positive_cross_view,0.8484,0.6926,450,599,600,749,6
22,3,view1,5,view1,1,positive_intra_view,0.8484,0.7778,450,599,750,899,43
23,3,view2,3,view3,1,positive_cross_view,0.8068,0.6365,450,599,450,599,5
24,3,view2,4,view1,1,positive_cross_view,0.8068,0.7918,450,599,600,749,5;43
25,3,view2,4,view2,1,positive_intra_view,0.8068,0.6696,450,599,600,749,5;7
26,3,view2,5,view2,1,positive_intra_view,0.8068,0.761,450,599,750,899,5;7
27,3,view3,4,view1,1,positive_cross_view,0.6365,0.7918,450,599,600,749,5
28,3,view3,4,view2,1,positive_cross_view,0.6365,0.6696,450,599,600,749,4;5
29,3,view3,4,view3,1,positive_intra_view,0.6365,0.6926,450,599,600,749,2;4
30,3,view3,5,view3,1,positive_intra_view,0.6365,0.7178,450,599,750,899,2;4
31,4,view1,4,view2,1,positive_cross_view,0.7918,0.6696,600,749,600,749,5;6
32,4,view1,4,view3,1,positive_cross_view,0.7918,0.6926,600,749,600,749,6
33,4,view1,5,view1,1,positive_intra_view,0.7918,0.7778,600,749,750,899,5;43
34,4,view1,5,view2,1,positive_cross_view,0.7918,0.761,600,749,750,899,5
35,4,view1,6,view1,1,positive_intra_view,0.7918,0.7691,600,749,900,1049,5;43
36,4,view2,4,view3,1,positive_cross_view,0.6696,0.6926,600,749,600,749,4;6
37,4,view2,5,view1,1,positive_cross_view,0.6696,0.7778,600,749,750,899,5
38,4,view2,5,view2,1,positive_intra_view,0.6696,0.761,600,749,750,899,4;5;7
39,4,view2,5,view3,1,positive_cross_view,0.6696,0.7178,600,749,750,899,4
40,4,view2,6,view2,1,positive_intra_view,0.6696,0.7621,600,749,900,1049,4;5;7
41,4,view3,5,view2,1,positive_cross_view,0.6926,0.761,600,749,750,899,4
42,4,view3,5,view3,1,positive_intra_view,0.6926,0.7178,600,749,750,899,2;4;44
43,5,view1,5,view2,1,positive_cross_view,0.7778,0.761,750,899,750,899,5;46
44,5,view1,5,view3,1,positive_cross_view,0.7778,0.7178,750,899,750,899,45
45,5,view1,6,view1,1,positive_intra_view,0.7778,0.7691,750,899,900,1049,5;43
46,5,view1,6,view2,1,positive_cross_view,0.7778,0.7621,750,899,900,1049,5
47,5,view1,6,view3,1,positive_cross_view,0.7778,0.8006,750,899,900,1049,45
48,5,view1,7,view1,1,positive_intra_view,0.7778,0.7881,750,899,1050,1199,5
49,5,view2,5,view3,1,positive_cross_view,0.761,0.7178,750,899,750,899,4
50,5,view2,6,view1,1,positive_cross_view,0.761,0.7691,750,899,900,1049,5
51,5,view2,6,view2,1,positive_intra_view,0.761,0.7621,750,899,900,1049,4;5;7
52,5,view2,7,view2,1,positive_intra_view,0.761,0.7322,750,899,1050,1199,4;5;7
53,5,view3,6,view2,1,positive_cross_view,0.7178,0.7621,750,899,900,1049,4
54,5,view3,6,view3,1,positive_intra_view,0.7178,0.8006,750,899,900,1049,8;45
55,6,view1,6,view2,1,positive_cross_view,0.7691,0.7621,900,1049,900,1049,5
56,6,view1,7,view1,1,positive_intra_view,0.7691,0.7881,900,1049,1050,1199,5;9
57,6,view1,7,view2,1,positive_cross_view,0.7691,0.7322,900,1049,1050,1199,5
58,6,view1,8,view1,1,positive_intra_view,0.7691,0.8191,900,1049,1200,1349,9
59,6,view2,7,view1,1,positive_cross_view,0.7621,0.7881,900,1049,1050,1199,5
