frame_idx,track_id,x1,y1,x2,y2,confidence,Q_i,D_i,phi_i,theta_i,vq_score
150,-1,0.07,33.33,23.55,158.48,0.541,0.2705,5.9312,31.2362,0.0,0.1673
155,-1,0.11,23.94,23.87,163.97,0.269,0.1345,5.577,31.2934,0.0,0.0831
158,-1,0.05,0.56,30.94,171.7,0.5669,0.2834,5.1113,30.9356,0.0,0.1755
159,4153,1.18,0.34,30.89,164.84,0.8306,0.4153,5.4864,30.7023,0.0,0.2575
160,4153,1.71,0.29,31.59,165.26,0.6567,0.3283,5.4558,30.6175,0.0,0.2036
161,4153,1.58,0.17,32.02,167.81,0.7778,0.3889,5.3087,30.648,17.831,0.2349
162,4153,3.02,0.34,34.01,169.54,0.5098,0.2549,5.1985,30.4288,20.9521,0.1526
164,4153,7.75,0.52,39.14,166.59,0.6909,0.3454,5.3171,29.6085,142.6574,0.1001
165,4153,12.85,0.41,46.57,169.06,0.8862,0.4431,5.1267,28.6961,30.7311,0.2565
166,4153,14.16,0.27,50.03,169.87,0.8711,0.4355,5.0638,28.3442,0.0,0.273
167,4153,13.99,0.3,52.09,171.1,0.8945,0.4472,4.9923,28.2305,0.0,0.2809
168,4153,16.96,0.39,57.87,171.17,0.8804,0.4402,4.9533,27.541,0.0,0.2796
169,4153,16.7,0.41,60.7,174.0,0.8906,0.4453,4.8034,27.4275,20.0588,0.2829
170,4153,17.31,0.22,64.38,176.16,0.9009,0.4505,4.6853,27.163,23.407,0.2903
171,4153,15.86,0.14,64.9,177.23,0.9194,0.4597,4.64,27.2765,0.0,0.3115
172,4153,17.2,0.1,68.09,177.69,0.8979,0.449,4.6024,26.935,0.0,0.3069
173,4153,18.51,0.17,71.68,180.25,0.9062,0.4531,4.4729,26.6503,24.2066,0.3046
174,4153,18.76,0.2,72.59,179.24,0.9009,0.4505,4.5122,26.5153,0.0,0.3138
175,4153,20.29,0.11,74.98,179.09,0.9072,0.4536,4.5048,26.1958,0.0,0.3168
176,4153,20.64,0.07,75.82,178.35,0.8975,0.4487,4.5328,26.0691,0.0,0.3119
